timestamp,state,action,reward
2025-10-21T21:06:52.683101,deployment_failure_DOWN,restore_previous_version,-1
2025-10-21T21:08:29.558777,deployment_failure_DOWN,retry_deployment,-1
2025-10-21T21:11:56.776205,deployment_failure_DOWN,adjust_thresholds,-1
2025-10-21T21:13:35.156711,deployment_failure_UP,retry_deployment,-1
2025-10-22T06:16:00.288276,deployment_failure_DOWN,retry_deployment,3
2025-10-22T06:19:42.714278,anomaly_health_UP,restore_previous_version,-1
2025-10-22T06:20:23.052438,anomaly_health_DOWN,adjust_thresholds,-1
2025-10-22T06:22:12.674281,latency_issue_UP,retry_deployment,-1
2025-10-22T06:23:27.931203,latency_issue_DOWN,retry_deployment,-1
2025-10-22T06:24:28.529245,latency_issue_DOWN,restore_previous_version,-1
2025-10-22T06:24:58.316760,latency_issue_DOWN,adjust_thresholds,3
2025-10-22T06:26:19.000595,deployment_failure_UP,adjust_thresholds,-1
2025-10-22T06:26:56.890560,deployment_failure_UP,restore_previous_version,-1
2025-10-22T11:34:40.308961,deployment_failure_DOWN,retry_deployment,-1
2025-10-22T11:40:29.361497,deployment_failure_DOWN,retry_deployment,-1
2025-10-22T11:47:58.700241,latency_issue_UP,restore_previous_version,-1
2025-10-22T11:58:51.283425,latency_issue_DOWN,adjust_thresholds,3
2025-10-22T14:46:56.307011,latency_issue_UP,adjust_thresholds,3
2025-10-22T14:48:07.324203,deployment_failure_UP,restore_previous_version,-1
2025-10-22T14:49:50.569494,deployment_failure_DOWN,retry_deployment,-1
2025-10-23T10:06:19.200045,deployment_failure_DOWN,restore_previous_version,-1
